Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Project/rack-device-3d/Cisco-N9KC9336C-FX2/v001/qa/GLB-reimport-verification.blend"
Fra:1 Mem:224.04M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_P2_arrow_legend.001
Fra:1 Mem:224.05M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_recessed_connector_stop.001
Fra:1 Mem:224.05M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_guide_5.001
Fra:1 Mem:224.08M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_guide_-5.001
Fra:1 Mem:224.11M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_deep_metal_cage.001
Fra:1 Mem:224.16M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_flush_lock_pin_39.001
Fra:1 Mem:224.18M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_front_frame.001
Fra:1 Mem:224.21M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_known_PID.001
Fra:1 Mem:224.27M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_latch_thumb_flare_-1.001
Fra:1 Mem:224.29M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_latch_thumb_flare_1.001
Fra:1 Mem:224.31M (Peak 252.98M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_molded_trapezoid_pull_handle.001
Fra:1 Mem:224.43M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_PID_label_recess.001
Fra:1 Mem:224.44M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_rear_power_contact_block_-1.001
Fra:1 Mem:224.46M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_rear_power_contact_block_1.001
Fra:1 Mem:224.48M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_blade_-1_0.001
Fra:1 Mem:224.48M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_blade_-1_1.001
Fra:1 Mem:224.48M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_blade_-1_2.001
Fra:1 Mem:224.49M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_blade_-1_3.001
Fra:1 Mem:224.49M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_blade_-1_4.001
Fra:1 Mem:224.49M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_blade_-1_5.001
Fra:1 Mem:224.49M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_blade_-1_6.001
Fra:1 Mem:224.49M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_hub_-1.001
Fra:1 Mem:224.52M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_blade_1_0.001
Fra:1 Mem:224.52M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_blade_1_1.001
Fra:1 Mem:224.52M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_blade_1_2.001
Fra:1 Mem:224.52M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_blade_1_3.001
Fra:1 Mem:224.52M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_blade_1_4.001
Fra:1 Mem:224.50M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_9.001
Fra:1 Mem:224.50M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_8.001
Fra:1 Mem:224.50M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_7.001
Fra:1 Mem:224.51M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_6.001
Fra:1 Mem:224.51M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_5.001
Fra:1 Mem:224.51M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_4.001
Fra:1 Mem:224.51M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_3.001
Fra:1 Mem:224.52M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_2.001
Fra:1 Mem:224.52M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_1.001
