Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Project/rack-device-3d/Cisco-N9KC9336C-FX2/v001/model/CISCO-Nexus-N9K-C9336C-FX2.blend"
Fra:1 Mem:121.23M (Peak 121.23M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | PORT_NUMBER_01
Fra:1 Mem:121.23M (Peak 121.23M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Correct_factory_PID
Fra:1 Mem:121.26M (Peak 121.26M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | RIGHT_EAR_bent_opaque_solid_with_true_bores
Fra:1 Mem:121.34M (Peak 121.34M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Cisco_product_family_line_2
Fra:1 Mem:121.49M (Peak 121.49M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Cisco_product_family_line_1
Fra:1 Mem:121.59M (Peak 121.59M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Cisco_brand_wordmark
Fra:1 Mem:121.63M (Peak 121.63M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Cisco_bridge_bar_9
Fra:1 Mem:121.63M (Peak 121.63M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Cisco_bridge_bar_8
Fra:1 Mem:121.64M (Peak 121.64M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Cisco_bridge_bar_7
Fra:1 Mem:121.64M (Peak 121.64M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Cisco_bridge_bar_6
Fra:1 Mem:121.78M (Peak 121.78M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Cisco_bridge_bar_5
Fra:1 Mem:121.78M (Peak 121.78M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Cisco_bridge_bar_4
Fra:1 Mem:121.79M (Peak 121.79M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Cisco_bridge_bar_3
Fra:1 Mem:121.79M (Peak 121.79M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Cisco_bridge_bar_2
Fra:1 Mem:121.80M (Peak 121.80M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Cisco_bridge_bar_1
Fra:1 Mem:121.80M (Peak 121.80M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | LS_selector_text
Fra:1 Mem:122.06M (Peak 122.06M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | LS_selector_metal_button
Fra:1 Mem:123.06M (Peak 123.06M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | LS_selector_black_surround
Fra:1 Mem:123.07M (Peak 123.07M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | FRONT_4_legend
Fra:1 Mem:123.07M (Peak 123.07M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | FRONT_4_unpowered_lens
Fra:1 Mem:123.11M (Peak 123.11M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | FRONT_3_legend
Fra:1 Mem:123.11M (Peak 123.11M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | FRONT_3_unpowered_lens
Fra:1 Mem:123.15M (Peak 123.15M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | FRONT_2_legend
Fra:1 Mem:123.16M (Peak 123.16M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | FRONT_2_unpowered_lens
Fra:1 Mem:123.19M (Peak 123.19M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | FRONT_1_legend
Fra:1 Mem:123.20M (Peak 123.20M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | FRONT_1_unpowered_lens
Fra:1 Mem:123.23M (Peak 123.23M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | FRONT_ENV_legend
Fra:1 Mem:123.24M (Peak 123.24M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | FRONT_ENV_unpowered_lens
Fra:1 Mem:123.28M (Peak 123.28M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | FRONT_STS_legend
Fra:1 Mem:123.29M (Peak 123.29M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | FRONT_STS_unpowered_lens
Fra:1 Mem:123.33M (Peak 123.33M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | FRONT_BCN_legend
Fra:1 Mem:123.34M (Peak 123.34M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | FRONT_BCN_unpowered_lens
Fra:1 Mem:123.38M (Peak 123.38M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Rear_P2_arrow_legend
Fra:1 Mem:123.38M (Peak 123.38M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | USB_symbol_branch_B
Fra:1 Mem:123.38M (Peak 123.38M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | USB_symbol_branch_A
Fra:1 Mem:123.38M (Peak 123.38M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | USB_symbol_stem
Fra:1 Mem:123.38M (Peak 123.38M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Console_terminal_symbol
