Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Project/rack-device-3d/Cisco-N9KC9336C-FX2/v001/qa/GLB-reimport-verification.blend"
Fra:1 Mem:223.70M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_7.001
Fra:1 Mem:223.73M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_6.001
Fra:1 Mem:223.71M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_5.001
Fra:1 Mem:223.71M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_7.001
Fra:1 Mem:223.71M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_4.001
Fra:1 Mem:223.71M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_3.001
Fra:1 Mem:223.78M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_2.001
Fra:1 Mem:223.73M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_8.001
Fra:1 Mem:223.75M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_1.001
Fra:1 Mem:223.74M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_0.001
Fra:1 Mem:223.77M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_unpowered_corner_LED_5.001
Fra:1 Mem:223.76M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_-1_9.001
Fra:1 Mem:223.79M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_1_0.001
Fra:1 Mem:223.81M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_unpowered_corner_LED_-5.001
Fra:1 Mem:223.83M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_metal_shield.001
Fra:1 Mem:223.87M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_keyed_plastic_body.001
Fra:1 Mem:223.88M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_deep_connector_stop.001
Fra:1 Mem:223.88M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_contact_7.001
Fra:1 Mem:223.90M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_contact_6.001
Fra:1 Mem:223.92M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_contact_5.001
Fra:1 Mem:223.94M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_contact_4.001
Fra:1 Mem:223.96M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_contact_3.001
