Code executed successfully: 21:50:14 | ERROR: Draco mesh compression is not available because library could not be found at /usr/bin/4.0/python/lib/python3.12/site-packages/libextern_draco.so
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_1_5
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_1_6
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_1_7
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_1_8
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_fine_vertical_thumb_rib_1_9
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_flush_lock_pin_-39
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_flush_lock_pin_39
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_front_frame
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_known_PID
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_latch_thumb_flare_-1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_latch_thumb_flare_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_molded_trapezoid_pull_handle
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_PID_label_recess
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_rear_power_contact_block_-1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_rear_power_contact_block_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_blade_-1_0
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_blade_-1_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_blade_-1_2
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_blade_-1_3
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_blade_-1_4
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_blade_-1_5
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_blade_-1_6
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_hub_-1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_blade_1_0
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_blade_1_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_blade_1_2
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_blade_1_3
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_blade_1_4
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_blade_1_5
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_blade_1_6
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_hub_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_rotor_housing_-1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_rotor_housing_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_top_retention_rail_-1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_top_retention_rail_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Fan3_true_honeycomb_front_grille
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Cisco_brand_wordmark
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Cisco_bridge_bar_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Cisco_bridge_bar_2
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Cisco_bridge_bar_3
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Cisco_bridge_bar_4
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Cisco_bridge_bar_5
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Cisco_bridge_bar_6
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Cisco_bridge_bar_7
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Cisco_bridge_bar_8
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Cisco_bridge_bar_9
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Cisco_product_family_line_1
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Cisco_product_family_line_2
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Correct_factory_PID
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: FRONT_1_legend
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: lens_mesh_temp.003
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: FRONT_2_legend
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: lens_mesh_temp.004
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: FRONT_3_legend
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: lens_mesh_temp.005
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: FRONT_4_legend
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: lens_mesh_temp.006
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: FRONT_BCN_legend
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: lens_mesh_temp
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: FRONT_ENV_legend
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: lens_mesh_temp.002
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: FRONT_STS_legend
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: lens_mesh_temp.001
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: LS_selector_black_surround
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: LS_selector_metal_button
21:50:15 | INFO: Primitives created: 2
21:50:15 | INFO: Extracting primitive: LS_selector_text
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: Original_photo_top_chassis_label
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_01
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_02
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_03
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_04
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_05
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_06
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_07
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_08
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_09
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_10
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_11
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_12
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_13
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_14
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_15
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_16
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_17
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_18
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_19
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_20
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_21
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_22
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_23
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_24
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_25
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_26
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_27
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_28
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_29
21:50:15 | INFO: Primitives created: 1
21:50:15 | INFO: Extracting primitive: PORT_NUMBER_30
21:50:15 | INFO: Primitives created: 1
