Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/12-persistent-label-uv.blend"
Fra:22 Mem:261.47M (Peak 261.47M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_index_05
Fra:22 Mem:261.24M (Peak 261.47M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_index_07
Fra:22 Mem:261.32M (Peak 261.47M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_index_08
Fra:22 Mem:261.38M (Peak 261.47M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_index_09
Fra:22 Mem:261.38M (Peak 261.47M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_index_10
Fra:22 Mem:261.39M (Peak 261.47M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_index_11
Fra:22 Mem:261.38M (Peak 261.47M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_index_12
Fra:22 Mem:261.40M (Peak 261.47M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_index_14
Fra:22 Mem:261.51M (Peak 261.51M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_index_15
Fra:22 Mem:261.57M (Peak 261.57M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_index_17
Fra:22 Mem:261.88M (Peak 261.88M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_index_18
Fra:22 Mem:261.88M (Peak 261.88M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_index_21
Fra:22 Mem:261.94M (Peak 261.94M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_index_22
Fra:22 Mem:261.97M (Peak 261.97M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Bay_index_23
Fra:22 Mem:261.90M (Peak 261.97M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Real_yellow_warning_label
Fra:22 Mem:261.91M (Peak 261.97M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Real_regulatory_label
Fra:22 Mem:261.93M (Peak 261.97M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_floor
Fra:22 Mem:262.03M (Peak 262.03M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_tray_side_-1
Fra:22 Mem:262.06M (Peak 262.06M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_internal_air_shade
Fra:22 Mem:262.08M (Peak 262.06M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_visible_PCB_edge
Fra:22 Mem:262.20M (Peak 262.20M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_punched_rear_skin
Fra:22 Mem:264.33M (Peak 264.33M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_horizontal_rear_return
Fra:22 Mem:264.36M (Peak 264.36M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_vertical_rear_return
Fra:22 Mem:264.67M (Peak 264.67M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_USB_black_mask
Fra:22 Mem:264.73M (Peak 264.73M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_USB3A_0_metal_cavity
Fra:22 Mem:264.72M (Peak 264.73M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_USB3A_0_dark_back
Fra:22 Mem:264.67M (Peak 264.73M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_USB3A_0_blue_tongue
Fra:22 Mem:264.06M (Peak 264.73M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_USB3A_0_front_contact_0
Fra:22 Mem:264.52M (Peak 264.73M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_USB3A_0_rear_contact_0
Fra:22 Mem:263.97M (Peak 264.73M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | PSU1_woven_edge_fibres
Fra:22 Mem:264.35M (Peak 264.73M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_USB_retention_spring
Fra:22 Mem:264.37M (Peak 264.73M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_USB_icon_stem
Fra:22 Mem:264.44M (Peak 264.73M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_USB_icon_branchA
Fra:22 Mem:264.46M (Peak 264.73M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_USB_icon_branchB
Fra:22 Mem:264.52M (Peak 264.73M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_USB_icon_circle
Fra:22 Mem:264.55M (Peak 264.73M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_USB_icon_square
Fra:22 Mem:265.01M (Peak 265.01M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Node1_USB_icon_arrow
