Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/13-flat-punched-sheet-normals.blend"
Fra:22 Mem:256.63M (Peak 256.63M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Control_face_inset_-1
Fra:22 Mem:256.79M (Peak 256.79M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Control_face_bottom_clip_-1
Fra:22 Mem:257.19M (Peak 257.19M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | DELL_EMC_official_badge
Fra:22 Mem:257.20M (Peak 257.20M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Power_button_lens_1
Fra:22 Mem:257.27M (Peak 257.27M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Power_outer_white_print_1
Fra:22 Mem:257.36M (Peak 257.36M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Power_symbol_arc_1
Fra:22 Mem:257.59M (Peak 257.59M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Power_symbol_stem_1
Fra:22 Mem:257.66M (Peak 257.66M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | ID_button_lens_1
Fra:22 Mem:257.94M (Peak 257.94M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | ID_button_print_1
Fra:22 Mem:257.95M (Peak 257.95M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | ID_inner_white_disc_1
Fra:22 Mem:257.89M (Peak 257.95M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | ID_information_symbol_1
Fra:22 Mem:257.86M (Peak 257.95M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_node_number_1
Fra:22 Mem:257.81M (Peak 257.95M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_mapping_arrow_1
Fra:22 Mem:257.82M (Peak 257.95M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Power_symbol_arc_2
Fra:22 Mem:257.86M (Peak 257.95M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Power_symbol_stem_2
Fra:22 Mem:257.77M (Peak 257.95M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Captive_screw_metal_washer_-1
Fra:22 Mem:257.74M (Peak 257.95M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Captive_screw_knurled_grip_-1
Fra:22 Mem:257.79M (Peak 257.95M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Captive_screw_Phillips_-1_recess_floor
