Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/11-clear-original-labels.blend"
Fra:22 Mem:257.56M (Peak 257.56M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Central_PSU_channel_divider
Fra:22 Mem:257.77M (Peak 257.77M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_backplane_shadow
Fra:22 Mem:257.86M (Peak 257.86M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Hidden_backplane_socket
Fra:22 Mem:257.93M (Peak 257.93M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Rack_ear_mount_-1
Fra:22 Mem:257.80M (Peak 257.93M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Control_ear_shell_-1
Fra:22 Mem:257.69M (Peak 257.93M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Lower_ear_screw_boss_-1
Fra:22 Mem:257.74M (Peak 257.93M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_punched_cheek_-1
Fra:22 Mem:258.12M (Peak 258.12M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cage_side_return_-1
Fra:22 Mem:257.86M (Peak 258.12M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Chrome_lifting_handle_-1
Fra:22 Mem:257.86M (Peak 258.12M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_lower_rolled_hem
Fra:22 Mem:257.91M (Peak 258.12M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Drive_bank_divider_0
Fra:22 Mem:257.94M (Peak 258.12M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Control_face_inset_-1
Fra:22 Mem:258.16M (Peak 258.16M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Control_face_bottom_clip_-1
Fra:22 Mem:258.17M (Peak 258.17M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | DELL_EMC_official_badge
Fra:22 Mem:258.13M (Peak 258.17M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Power_button_lens_1
Fra:22 Mem:258.13M (Peak 258.17M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Power_symbol_arc_1
Fra:22 Mem:258.44M (Peak 258.44M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Power_symbol_stem_1
Fra:22 Mem:258.29M (Peak 258.44M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | ID_button_lens_1
Fra:22 Mem:257.34M (Peak 258.44M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | ID_button_print_1
Fra:22 Mem:257.57M (Peak 258.44M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | ID_inner_white_disc_1
Fra:22 Mem:257.57M (Peak 258.44M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | ID_information_symbol_1
Fra:22 Mem:257.72M (Peak 258.44M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_node_number_1
Fra:22 Mem:257.72M (Peak 258.44M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_mapping_arrow_1
