Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend"
Scene switch for render: 'C6420_GLB_REIMPORT_QA' in file: '/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend'
Fra:1 Mem:358.93M (Peak 358.93M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_curved_fan_vane_0.001
Fra:1 Mem:359.06M (Peak 359.06M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_woven_extraction_loop.001
Fra:1 Mem:358.99M (Peak 359.06M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.036
Fra:1 Mem:359.55M (Peak 359.55M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_woven_edge_fibres.001
Fra:1 Mem:359.62M (Peak 359.62M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.037
Fra:1 Mem:360.81M (Peak 360.81M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.038
Fra:1 Mem:361.98M (Peak 361.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.039
Fra:1 Mem:361.37M (Peak 361.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.040
Fra:1 Mem:361.18M (Peak 361.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_vertical_pull_anchor.001
Fra:1 Mem:360.89M (Peak 361.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_side_shell.002
