Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend"
Scene switch for render: 'C6420_GLB_REIMPORT_QA' in file: '/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend'
Fra:1 Mem:360.95M (Peak 360.95M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_orange_release_paddle.001
Fra:1 Mem:361.05M (Peak 361.05M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_octagonal_fan_guard.001
Fra:1 Mem:361.09M (Peak 361.09M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.041
Fra:1 Mem:361.07M (Peak 361.09M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.042
Fra:1 Mem:361.33M (Peak 361.33M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_latch_track.001
Fra:1 Mem:361.41M (Peak 361.41M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_internal_end.001
Fra:1 Mem:361.54M (Peak 361.54M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_horizontal_shell.002
Fra:1 Mem:361.75M (Peak 361.75M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_front_sheet.001
Fra:1 Mem:361.81M (Peak 361.81M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.043
Fra:1 Mem:362.03M (Peak 362.03M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.044
Fra:1 Mem:362.54M (Peak 362.54M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.045
Fra:1 Mem:362.69M (Peak 362.69M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_flat_guard_crossbar_1.001
Fra:1 Mem:362.80M (Peak 362.80M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_flat_guard_crossbar_-1.001
Fra:1 Mem:362.73M (Peak 362.80M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_fan_shroud_metal_cavity.001
Fra:1 Mem:362.72M (Peak 362.80M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.046
Fra:1 Mem:362.70M (Peak 362.80M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.047
Fra:1 Mem:363.17M (Peak 363.17M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.008
Fra:1 Mem:363.38M (Peak 363.38M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_fan_shroud_dark_back.001
Fra:1 Mem:363.39M (Peak 363.39M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_fan_screw_recessed_head.005
Fra:1 Mem:363.33M (Peak 363.39M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.009
Fra:1 Mem:363.34M (Peak 363.39M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.010
Fra:1 Mem:364.63M (Peak 364.63M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.011
Fra:1 Mem:364.62M (Peak 364.63M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_fan_screw_recessed_head.004
Fra:1 Mem:364.47M (Peak 364.63M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Midheight_sled_shelf.002
Fra:1 Mem:364.38M (Peak 364.63M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Central_PSU_channel_divider.002
Fra:1 Mem:364.37M (Peak 364.63M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_backplane_shadow.001
Fra:1 Mem:364.35M (Peak 364.63M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Hidden_backplane_socket.004
Fra:1 Mem:364.39M (Peak 364.63M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rack_ear_mount_-1.001
Fra:1 Mem:364.49M (Peak 364.63M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Control_ear_shell_-1.001
Fra:1 Mem:364.49M (Peak 364.63M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Lower_ear_screw_boss_-1.001
Fra:1 Mem:364.91M (Peak 364.91M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_punched_cheek_-1.001
Fra:1 Mem:365.31M (Peak 365.31M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cage_side_return_-1.001
Fra:1 Mem:365.33M (Peak 365.33M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Chrome_lifting_handle_-1.001
Fra:1 Mem:365.33M (Peak 365.33M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Handle_flat_anchor_-1.002
Fra:1 Mem:365.46M (Peak 365.46M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Chrome_lifting_handle_1.001
Fra:1 Mem:365.44M (Peak 365.46M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_fan_screw_recess_floor.004
Fra:1 Mem:364.76M (Peak 365.46M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_fan_motor_hub.001
Fra:1 Mem:364.84M (Peak 365.46M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_lower_rolled_hem.001
Fra:1 Mem:364.66M (Peak 365.46M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Drive_bank_divider_0.001
