Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v001/model/06-geometry-verified.blend"
Fra:1 Mem:101.01M (Peak 101.01M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_1_sidewall.001
Fra:1 Mem:101.02M (Peak 101.02M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_1_tongue
Fra:1 Mem:101.02M (Peak 101.02M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB_contact.004
Fra:1 Mem:101.03M (Peak 101.03M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB_contact.005
Fra:1 Mem:101.19M (Peak 101.19M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB_contact.006
Fra:1 Mem:101.20M (Peak 101.20M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_0_sidewall
Fra:1 Mem:101.20M (Peak 101.20M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_0_horizontalwall
Fra:1 Mem:101.21M (Peak 101.21M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_0_horizontalwall.001
Fra:1 Mem:101.21M (Peak 101.21M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_inner_contact
Fra:1 Mem:101.39M (Peak 101.39M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_1_recess_back
Fra:1 Mem:101.39M (Peak 101.39M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_1_sidewall
Fra:1 Mem:101.39M (Peak 101.39M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_1_horizontalwall
Fra:1 Mem:101.39M (Peak 101.39M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_1_sidewall.001
Fra:1 Mem:101.41M (Peak 101.41M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_1_horizontalwall.001
Fra:1 Mem:101.42M (Peak 101.42M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_inner_contact.004
