Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v001/model/07-finish-reviewed.blend"
Fra:1 Mem:100.44M (Peak 100.44M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_iDRAC_RJ45_sidewall.001
Fra:1 Mem:100.44M (Peak 100.44M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_RJ45_contact
Fra:1 Mem:100.45M (Peak 100.45M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_RJ45_contact.001
Fra:1 Mem:100.45M (Peak 100.45M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_RJ45_contact.003
Fra:1 Mem:100.46M (Peak 100.46M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_RJ45_contact.004
Fra:1 Mem:100.46M (Peak 100.46M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_RJ45_contact.006
Fra:1 Mem:100.46M (Peak 100.46M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_RJ45_contact.007
Fra:1 Mem:100.46M (Peak 100.46M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_RJ45_indicator
Fra:1 Mem:100.46M (Peak 100.46M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_RJ45_indicator.001
Fra:1 Mem:100.47M (Peak 100.47M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_long_grip_recess_back
Fra:1 Mem:100.47M (Peak 100.47M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_long_grip_sidewall
