Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v001/model/DELL-PowerEdge-C6420-4N-24SFF.blend"
Fra:1 Mem:107.67M (Peak 107.67M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_RJ45_indicator.001
Fra:1 Mem:107.67M (Peak 107.67M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_long_grip_recess_back
Fra:1 Mem:107.68M (Peak 107.68M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_long_grip_sidewall
Fra:1 Mem:107.69M (Peak 107.69M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_long_grip_horizontalwall
Fra:1 Mem:107.69M (Peak 107.69M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_grip_lower_rail
Fra:1 Mem:107.70M (Peak 107.70M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_grip_upper_rail
Fra:1 Mem:107.71M (Peak 107.71M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_blue_release_paddle
Fra:1 Mem:107.72M (Peak 107.72M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_paddle_inner_grip
Fra:1 Mem:107.72M (Peak 107.72M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_rear_power
Fra:1 Mem:107.82M (Peak 107.82M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_outer_release_lock
Fra:1 Mem:107.84M (Peak 107.84M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_iDRAC_mark
Fra:1 Mem:107.86M (Peak 107.86M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_side_rail.001
Fra:1 Mem:108.03M (Peak 108.03M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_perforated_rear
Fra:1 Mem:108.04M (Peak 108.04M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_rear_horizontal_lip
Fra:1 Mem:108.05M (Peak 108.05M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_rear_horizontal_lip.001
Fra:1 Mem:108.05M (Peak 108.05M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_rear_vertical_lip.001
Fra:1 Mem:108.29M (Peak 108.29M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_USB3_0_recess_back
Fra:1 Mem:108.30M (Peak 108.30M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_USB3_0_sidewall
Fra:1 Mem:108.18M (Peak 108.30M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_USB3_0_horizontalwall
Fra:1 Mem:108.18M (Peak 108.30M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_USB3_0_sidewall.001
Fra:1 Mem:108.18M (Peak 108.30M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_USB3_1_recess_back
Fra:1 Mem:108.66M (Peak 108.66M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_USB3_1_sidewall
